@T,table,,,
Created,7/20/17 10:01,,,
Author,HortonMachine library,,,
@H,timestamp,value_42,,
ID,,42,,
Type,Date,Double,,
Format,yyyy-MM-dd HH:mm,,,
,1994-04-19 00:00,0.871445386,3.141103488,3.604475437
,1994-04-20 00:00,2.54E-05,0,0
,1994-04-21 00:00,5.52E-11,0,0
,1994-04-22 00:00,0.037110681,1.457367947,39.27084871
,1994-04-23 00:00,0.084657062,1.511656876,17.85624068
,1994-04-24 00:00,0.04744881,0.828560368,17.46219476
,1994-04-25 00:00,2.725897134,17.61263359,6.46122459
,1994-04-26 00:00,0.122664108,1.060198696,8.643104437
,1994-04-27 00:00,1.74E-04,0,0
,1994-04-28 00:00,2.18E-07,0,0
,1994-04-29 00:00,2.51E-10,0,0
,1994-04-30 00:00,0,0,0
,1994-05-01 00:00,0,0,0
,1994-05-02 00:00,0,0,0
,1994-05-03 00:00,0,0,0
,1994-05-04 00:00,0,0,0
,1994-05-05 00:00,0.982667526,9.773848392,9.946241358
,1994-05-06 00:00,0.035691488,0,0
,1994-05-07 00:00,0,0,0
,1994-05-08 00:00,0,0,0
,1994-05-09 00:00,0,0,0
,1994-05-10 00:00,0,0.098055056,0
,1994-05-11 00:00,1.730207233,12.69057546,7.334714143
,1994-05-12 00:00,0.198373923,0,0
,1994-05-13 00:00,0.066392373,0.240062664,3.615816907
,1994-05-14 00:00,2.130270074,16.24556718,7.626059897
,1994-05-15 00:00,0.062647303,0.109963031,1.755271596
,1994-05-16 00:00,0.001108859,0,0
,1994-05-17 00:00,1.97E-05,0,0
,1994-05-18 00:00,21.22285553,103.4324686,4.873635805
,1994-05-19 00:00,8.176926787,9.451173286,1.155834402
,1994-05-20 00:00,6.127714222,21.68496515,3.538834281
,1994-05-21 00:00,0.622447826,0.062017722,0.099635213
,1994-05-22 00:00,0.010017178,0,0
,1994-05-23 00:00,1.49E-04,0,0
,1994-05-24 00:00,0,0.048934595,0
,1994-05-25 00:00,0.120621773,1.455848667,12.06953462
,1994-05-26 00:00,0.298183475,3.097526014,10.38798685
,1994-05-27 00:00,0.025797189,0.208924973,8.098749652
,1994-05-28 00:00,0.035844312,0.366171754,10.21561669
,1994-05-29 00:00,9.99E-04,0,0
,1994-05-30 00:00,4.571785715,28.90365747,6.32218115
,1994-05-31 00:00,0.267819267,0,0
,1994-06-01 00:00,0.006581418,0,0
,1994-06-02 00:00,1.59E-04,0,0
,1994-06-03 00:00,0.042001273,0.490343382,11.6744887
,1994-06-04 00:00,0.00970884,0.11241256,11.57837127
,1994-06-05 00:00,1.39E-04,0,0
,1994-06-06 00:00,1.95E-06,0,0
,1994-06-07 00:00,2.71E-08,0,0
,1994-06-08 00:00,3.49E-10,0,0
,1994-06-09 00:00,0.564324642,6.925684787,12.27251881
,1994-06-10 00:00,0.479643091,5.337953978,11.12901254
,1994-06-11 00:00,0.686974447,7.6969297,11.20409898
,1994-06-12 00:00,0.514315321,5.706474862,11.09528459
,1994-06-13 00:00,0.418423024,3.886541063,9.288544933
,1994-06-14 00:00,0.014969541,0,0
,1994-06-15 00:00,5.15E-04,0,0
,1994-06-16 00:00,1.78E-05,0,0
,1994-06-17 00:00,6.29E-07,0,0
,1994-06-18 00:00,0.006408769,0.063718136,9.942335716
,1994-06-19 00:00,2.12E-04,0,0
,1994-06-20 00:00,1.871794871,16.64303267,8.89148321
,1994-06-21 00:00,1.13188975,10.11138269,8.933186895
,1994-06-22 00:00,0.040141337,0.048683953,1.212813421
,1994-06-23 00:00,0.003226046,0,0
,1994-06-24 00:00,0.05118242,0.553377469,10.81186598
,1994-06-25 00:00,0.001287811,0,0
,1994-06-26 00:00,3.14E-05,0,0
,1994-06-27 00:00,0.07529,0.782545754,10.39375426
,1994-06-28 00:00,0.113281277,1.192083736,10.52321944
,1994-06-29 00:00,0.713480856,7.658462165,10.73394205
,1994-06-30 00:00,0.017077176,0,0
,1994-07-01 00:00,4.16E-04,0,0
,1994-07-02 00:00,0.548238814,5.924528178,10.80647343
,1994-07-03 00:00,0.01346413,0,0
,1994-07-04 00:00,0.004835538,0.049357073,10.20715301
,1994-07-05 00:00,1.18E-04,0,0
,1994-07-06 00:00,0.246894447,2.640087419,10.69318266
,1994-07-07 00:00,0.05614808,0.531562696,9.467157206
,1994-07-08 00:00,1.844644881,16.51010137,8.950287151
