@T,table
Created,2017-07-20 10:03
Author,HortonMachine library
@H,timestamp,value_8
ID,,8
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,1994-01-01 00:00,2.2732283841671963
,1994-01-02 00:00,2.4542991295461323
,1994-01-03 00:00,2.7779081342044925
,1994-01-04 00:00,3.0547057888323557
,1994-01-05 00:00,3.2734238739944312
,1994-01-06 00:00,3.4374922333924443
,1994-01-07 00:00,6.468185025710436
,1994-01-08 00:00,8.407577478645234
,1994-01-09 00:00,5.912699202058352
,1994-01-10 00:00,5.895098437131474
,1994-01-11 00:00,9.426768407432702
,1994-01-12 00:00,6.949529700111969
,1994-01-13 00:00,6.956800638073193
,1994-01-14 00:00,6.778844111247126
,1994-01-15 00:00,6.731879923787199
,1994-01-16 00:00,6.535216400366715
,1994-01-17 00:00,6.3979105779057655
,1994-01-18 00:00,6.214613109647172
,1994-01-19 00:00,6.000175993565932
,1994-01-20 00:00,5.767895471467325
,1994-01-21 00:00,5.527756133342836
,1994-01-22 00:00,5.2864123967586965
,1994-01-23 00:00,5.058041921423781
,1994-01-24 00:00,4.8211632424939115
,1994-01-25 00:00,4.601145729073687
,1994-01-26 00:00,4.449309601009215
,1994-01-27 00:00,4.263753231326712
,1994-01-28 00:00,4.054016604436868
,1994-01-29 00:00,3.873724481974918
,1994-01-30 00:00,3.701297764568666
,1994-01-31 00:00,3.547992487184718
,1994-02-01 00:00,3.40309503660178
,1994-02-02 00:00,3.2660480988323366
,1994-02-03 00:00,3.136491638403811
,1994-02-04 00:00,3.0850115692714364
,1994-02-05 00:00,3.7526873598589185
,1994-02-06 00:00,4.324334898212547
,1994-02-07 00:00,3.649837034324007
,1994-02-08 00:00,3.948693417035149
,1994-02-09 00:00,3.4750892138915317
,1994-02-10 00:00,3.2608738696629294
,1994-02-11 00:00,3.3112614079970943
,1994-02-12 00:00,3.2488861683420196
,1994-02-13 00:00,3.2184923753636308
,1994-02-14 00:00,3.175001175658063
,1994-02-15 00:00,3.1207492804928836
,1994-02-16 00:00,3.058355081518282
,1994-02-17 00:00,2.9901310519180995
,1994-02-18 00:00,2.9177760543444364
,1994-02-19 00:00,2.842745205561222
,1994-02-20 00:00,2.766390307398959
,1994-02-21 00:00,2.6895970458533434
,1994-02-22 00:00,2.613134079318254
,1994-02-23 00:00,2.537613863668709
,1994-02-24 00:00,2.4634646770362285
,1994-02-25 00:00,2.3909336331460054
,1994-02-26 00:00,2.3203041817161614
,1994-02-27 00:00,2.251720891207763
,1994-02-28 00:00,2.450161971460047
,1994-03-01 00:00,5.333306880418685
,1994-03-02 00:00,3.305393987523766
,1994-03-03 00:00,3.198882487222401
,1994-03-04 00:00,3.338248180271386
,1994-03-05 00:00,3.110935663626799
,1994-03-06 00:00,3.2362215743713056
,1994-03-07 00:00,3.476545995843513
,1994-03-08 00:00,3.6630221531238094
,1994-03-09 00:00,4.142474039053926
,1994-03-10 00:00,4.218889202195053
,1994-03-11 00:00,4.208914278374317
,1994-03-12 00:00,4.130408669102946
,1994-03-13 00:00,4.0240828675173175
,1994-03-14 00:00,4.1005935122223685
,1994-03-15 00:00,4.075495557158897
,1994-03-16 00:00,4.099377982749046
,1994-03-17 00:00,4.043990044870476
,1994-03-18 00:00,3.906823952117025
,1994-03-19 00:00,3.84947067276987
,1994-03-20 00:00,3.8019013305284246
,1994-03-21 00:00,3.926893560238978
,1994-03-22 00:00,3.624109072830811
,1994-03-23 00:00,3.5422202076177
,1994-03-24 00:00,3.4384145515133935
,1994-03-25 00:00,3.3431700941711497
,1994-03-26 00:00,3.2560048302203244
,1994-03-27 00:00,3.137706978233668
,1994-03-28 00:00,3.034112778879766
,1994-03-29 00:00,2.9391126731739248
,1994-03-30 00:00,2.847690442705987
,1994-03-31 00:00,2.7407607380489214
,1994-04-01 00:00,4.02952339529559
,1994-04-02 00:00,3.1447767358858156
,1994-04-03 00:00,2.7653923255245556
,1994-04-04 00:00,2.7365210093197034
,1994-04-05 00:00,2.7214458119732488
,1994-04-06 00:00,2.7007290997444016
,1994-04-07 00:00,2.6229302612014305
,1994-04-08 00:00,2.567805658038775
,1994-04-09 00:00,2.6870041281609485
,1994-04-10 00:00,2.6256298136125125
,1994-04-11 00:00,2.604337820062467
,1994-04-12 00:00,2.6064181984220856
,1994-04-13 00:00,2.5873556492455094
,1994-04-14 00:00,4.51406800010323
,1994-04-15 00:00,4.805722801362668
,1994-04-16 00:00,5.568291203219491
,1994-04-17 00:00,7.95378008765901
,1994-04-18 00:00,5.360499964836261
,1994-04-19 00:00,4.5916544187022375
,1994-04-20 00:00,4.510100242905884
,1994-04-21 00:00,4.678564809728244
,1994-04-22 00:00,4.908393634268281
,1994-04-23 00:00,4.78798783104722
,1994-04-24 00:00,4.720381443772852
,1994-04-25 00:00,6.177239903723761
,1994-04-26 00:00,4.840286129804254
,1994-04-27 00:00,4.682509953724383
,1994-04-28 00:00,4.581968083665996
,1994-04-29 00:00,4.455870995380617
,1994-04-30 00:00,4.31312227350723
,1994-05-01 00:00,4.160795427954771
,1994-05-02 00:00,4.004461364788392
,1994-05-03 00:00,3.8479908643135867
,1994-05-04 00:00,3.693633627937291
,1994-05-05 00:00,4.058448524476992
,1994-05-06 00:00,3.4787229980765857
,1994-05-07 00:00,3.3632182571683598
,1994-05-08 00:00,3.2476796070467695
,1994-05-09 00:00,3.1329633902521565
,1994-05-10 00:00,3.0211887849231003
,1994-05-11 00:00,3.5227391058704374
,1994-05-12 00:00,2.8912279075632594
,1994-05-13 00:00,2.8625802619563987
