"X...","date","k"
-999,1997-01-01,261.824517144898
-999,1997-01-02,263.339664675379
-999,1997-01-03,263.843812041001
-999,1997-01-04,265.216780325168
-999,1997-01-05,267.15692395921
-999,1997-01-06,269.028276651507
-999,1997-01-07,270.880553359732
-999,1997-01-08,272.724055189336
-999,1997-01-09,275.34090269483
-999,1997-01-10,276.622502742532
-999,1997-01-11,278.394444771353
-999,1997-01-12,280.96308805065
-999,1997-01-13,283.318362143411
-999,1997-01-14,285.366763842207
-999,1997-01-15,287.275221671072
-999,1997-01-16,289.73104168779
-999,1997-01-17,293.137286642364
-999,1997-01-18,297.394263741671
-999,1997-01-19,242.432320460786
-999,1997-01-20,303.076455989855
-999,1997-01-21,305.757483880446
-999,1997-01-22,308.644366245734
-999,1997-01-23,299.741232816388
-999,1997-01-24,255.204282037749
-999,1997-01-25,254.898241339207
-999,1997-01-26,257.592421366232
-999,1997-01-27,260.657214534617
-999,1997-01-28,277.522926273873
-999,1997-01-29,280.644993908826
-999,1997-01-30,284.240231465884
-999,1997-01-31,287.679641928627
-999,1997-02-01,293.354010710768
-999,1997-02-02,297.426574512591
-999,1997-02-03,301.206358041213
-999,1997-02-04,332.958853036913
-999,1997-02-05,338.078403599724
-999,1997-02-06,340.417659719569
-999,1997-02-07,345.650837991504
-999,1997-02-08,349.670493732316
-999,1997-02-09,354.688361240186
-999,1997-02-10,359.048954183484
-999,1997-02-11,365.27858220547
-999,1997-02-12,370.025598645743
-999,1997-02-13,374.37358160145
-999,1997-02-14,378.900450219164
-999,1997-02-15,383.936806476001
-999,1997-02-16,388.602449549669
-999,1997-02-17,395.146072350463
-999,1997-02-18,399.683149684272
-999,1997-02-19,403.421126548195
-999,1997-02-20,408.61981155849
-999,1997-02-21,413.001170969989
-999,1997-02-22,417.734098755532
-999,1997-02-23,423.170744024849
-999,1997-02-24,429.371614042014
-999,1997-02-25,433.855350439578
-999,1997-02-26,438.505069659486
-999,1997-02-27,441.322018405648
-999,1997-02-28,446.960508945739
-999,1997-03-01,453.894409537097
-999,1997-03-02,380.823385174244
-999,1997-03-03,461.052335987813
-999,1997-03-04,465.811665113935
-999,1997-03-05,397.723190066561
-999,1997-03-06,399.388026335677
-999,1997-03-07,401.625694183031
-999,1997-03-08,406.576046726176
-999,1997-03-09,410.480244581217
-999,1997-03-10,414.126454261179
-999,1997-03-11,419.047365756257
-999,1997-03-12,422.485611895985
-999,1997-03-13,426.2391552212
-999,1997-03-14,430.973389474965
-999,1997-03-15,434.822011832247
-999,1997-03-16,438.476932590902
-999,1997-03-17,440.886373265262
-999,1997-03-18,448.808126988717
-999,1997-03-19,452.717233115921
-999,1997-03-20,456.175420220584
-999,1997-03-21,477.778640097745
-999,1997-03-22,481.640540664025
-999,1997-03-23,487.501358942239
-999,1997-03-24,491.360357087072
-999,1997-03-25,494.379901335934
-999,1997-03-26,497.678897681623
-999,1997-03-27,502.219469491754
-999,1997-03-28,506.167847872339
-999,1997-03-29,510.265580192385
-999,1997-03-30,513.295889185036
-999,1997-03-31,553.292999865771
-999,1997-04-01,558.620689414279
-999,1997-04-02,562.114073950372
-999,1997-04-03,565.628189551326
-999,1997-04-04,569.712888078243
-999,1997-04-05,576.74899239931
-999,1997-04-06,580.149483475234
-999,1997-04-07,586.521665546402
-999,1997-04-08,591.276301941939
-999,1997-04-09,593.599879957567
-999,1997-04-10,596.137344908566
-999,1997-04-11,524.641444746046
-999,1997-04-12,518.766324981419
-999,1997-04-13,522.595511112604
-999,1997-04-14,526.239929956787
-999,1997-04-15,527.682078936684
-999,1997-04-16,532.561328531655
-999,1997-04-17,535.895643800505
-999,1997-04-18,537.503238946256
-999,1997-04-19,540.702491524973
-999,1997-04-20,546.058115467702
-999,1997-04-21,549.098580339414
-999,1997-04-22,551.63826977983
-999,1997-04-23,552.582897396996
-999,1997-04-24,555.072481430523
-999,1997-04-25,556.735543102502
-999,1997-04-26,559.8622271919
-999,1997-04-27,565.034217251257
-999,1997-04-28,564.982741686902
-999,1997-04-29,568.618729320721
-999,1997-04-30,568.721591676173
-999,1997-05-01,573.342733464073
-999,1997-05-02,575.034872433598
-999,1997-05-03,576.240468043908
-999,1997-05-04,579.21393846594
-999,1997-05-05,584.36299189194
-999,1997-05-06,588.096100777567
-999,1997-05-07,590.511677203053
-999,1997-05-08,593.329960470417
-999,1997-05-09,593.553046937293
-999,1997-05-10,594.75931935457
-999,1997-05-11,594.888291254287
-999,1997-05-12,597.438098473116
-999,1997-05-13,597.093015833312
-999,1997-05-14,595.495818423546
-999,1997-05-15,597.690881884607
-999,1997-05-16,599.915588647479
-999,1997-05-17,601.839631177545
-999,1997-05-18,604.074767990322
-999,1997-05-19,605.856766730092
-999,1997-05-20,607.299779154697
-999,1997-05-21,609.171885971924
-999,1997-05-22,611.710776121515
-999,1997-05-23,627.521787071426
-999,1997-05-24,628.223795900359
-999,1997-05-25,632.569043547704
-999,1997-05-26,631.395845473195
-999,1997-05-27,609.746164744221
-999,1997-05-28,559.133024384973
-999,1997-05-29,556.361527445582
-999,1997-05-30,555.752216626799
-999,1997-05-31,586.191444981872
-999,1997-06-01,591.817028984543
-999,1997-06-02,675.108724372802
-999,1997-06-03,590.554137568354
-999,1997-06-04,590.539704008556
-999,1997-06-05,592.59450666877
-999,1997-06-06,591.51198212671
-999,1997-06-07,591.450820750544
-999,1997-06-08,592.625120318564
-999,1997-06-09,590.83715119631
-999,1997-06-10,591.140155030595
-999,1997-06-11,592.083622043747
-999,1997-06-12,592.543553416644
-999,1997-06-13,593.131736701402
