"X.." 00:00,"date" 00:00,"k"
,1997-06-22 00:00,2.58707626226595
,1997-06-23 00:00,2.46619851365352
,1997-06-24 00:00,7.8621598145601
,1997-06-25 00:00,0.0829855835217148
,1997-06-26 00:00,27.5001254595678
,1997-06-27 00:00,86.2737068069716
,1997-06-28 00:00,0.908228691353275
,1997-06-29 00:00,6.04774218554712
,1997-06-30 00:00,2.51133237299313
,1997-07-01 00:00,0.291585220112547
,1997-07-02 00:00,0.0272366494347631
,1997-07-03 00:00,0
,1997-07-04 00:00,0.526237125977815
,1997-07-05 00:00,36.222245309772
,1997-07-06 00:00,0
,1997-07-07 00:00,0
,1997-07-08 00:00,0
,1997-07-09 00:00,0
,1997-07-10 00:00,5.13881916341118
,1997-07-11 00:00,4.7323814350054
,1997-07-12 00:00,0.30556432669209
,1997-07-13 00:00,0.0271605706739223
,1997-07-14 00:00,16.3726434538406
,1997-07-15 00:00,0.0564093195860133
,1997-07-16 00:00,0.0295974940136646
,1997-07-17 00:00,7.23424531887425
,1997-07-18 00:00,30.4945476426535
,1997-07-19 00:00,0
,1997-07-20 00:00,4.48928129873099
,1997-07-21 00:00,0.137079471171982
,1997-07-22 00:00,0
,1997-07-23 00:00,0.0293647994645257
,1997-07-24 00:00,1.50401339127897
,1997-07-25 00:00,1.43713805989884
,1997-07-26 00:00,0
,1997-07-27 00:00,0
,1997-07-28 00:00,0
,1997-07-29 00:00,5.16969222134559
,1997-07-30 00:00,0.0295879468404156
,1997-07-31 00:00,0.209515640660498
,1997-08-01 00:00,1.70710016199757
,1997-08-02 00:00,0.0565806173234388
,1997-08-03 00:00,0
,1997-08-04 00:00,0
,1997-08-05 00:00,0.5374544241623
,1997-08-06 00:00,0.359616615917298
,1997-08-07 00:00,8.10575550509459
,1997-08-08 00:00,0.350224694702376
,1997-08-09 00:00,0.0295186835640167
,1997-08-10 00:00,0
,1997-08-11 00:00,0
,1997-08-12 00:00,0
,1997-08-13 00:00,0
,1997-08-14 00:00,0
,1997-08-15 00:00,0
,1997-08-16 00:00,4.81436517587218
,1997-08-17 00:00,58.2403635618523
,1997-08-18 00:00,8.11506349803477
,1997-08-19 00:00,0.994968542944481
,1997-08-20 00:00,0.0293839897855857
,1997-08-21 00:00,0.477145219084021
,1997-08-22 00:00,0
,1997-08-23 00:00,0
,1997-08-24 00:00,2.02750882986562
