X..,date,k
,1994-06-20 00:00,7.39574287282939
,1994-06-21 00:00,10.650480614346
,1994-06-22 00:00,0.0561612852741522
,1994-06-23 00:00,0
,1994-06-24 00:00,0.084510592207743
,1994-06-25 00:00,0
,1994-06-26 00:00,0
,1994-06-27 00:00,1.46424142546152
,1994-06-28 00:00,1.64856588211973
,1994-06-29 00:00,5.93128080910024
,1994-06-30 00:00,0
,1994-07-01 00:00,0
,1994-07-02 00:00,22.5957794896416
,1994-07-03 00:00,0
,1994-07-04 00:00,0.0274663763849417
,1994-07-05 00:00,0
,1994-07-06 00:00,1.80809183743226
,1994-07-07 00:00,0.182190660265451
,1994-07-08 00:00,14.3920054187505
,1994-07-09 00:00,0.110650328014838
,1994-07-10 00:00,0
,1994-07-11 00:00,0
,1994-07-12 00:00,0
,1994-07-13 00:00,20.2751691543418
,1994-07-14 00:00,0
,1994-07-15 00:00,0.0825136931074138
,1994-07-16 00:00,0
,1994-07-17 00:00,7.15220511144527
,1994-07-18 00:00,0.0570240201371948
,1994-07-19 00:00,6.33539513563139
,1994-07-20 00:00,47.0188858854977
,1994-07-21 00:00,32.0752633999239
,1994-07-22 00:00,0.0544021707383044
,1994-07-23 00:00,0
,1994-07-24 00:00,0
,1994-07-25 00:00,0
,1994-07-26 00:00,0
,1994-07-27 00:00,0
,1994-07-28 00:00,0.310341761084802
,1994-07-29 00:00,0
,1994-07-30 00:00,0
,1994-07-31 00:00,0
,1994-08-01 00:00,1.14900358131827
,1994-08-02 00:00,0
,1994-08-03 00:00,0
,1994-08-04 00:00,0
,1994-08-05 00:00,0
,1994-08-06 00:00,3.36525197726323
,1994-08-07 00:00,2.85650577647703
,1994-08-08 00:00,14.2832179185653
,1994-08-09 00:00,0
,1994-08-10 00:00,0.776917022503618
,1994-08-11 00:00,0
,1994-08-12 00:00,0
,1994-08-13 00:00,0
,1994-08-14 00:00,0
,1994-08-15 00:00,0
,1994-08-16 00:00,0
,1994-08-17 00:00,0
,1994-08-18 00:00,0.16353823259464
,1994-08-19 00:00,0
,1994-08-20 00:00,0
,1994-08-21 00:00,0
,1994-08-22 00:00,0
,1994-08-23 00:00,5.74680749012878
,1994-08-24 00:00,4.37484032939168
,1994-08-25 00:00,14.9220126245015
,1994-08-26 00:00,0
,1994-08-27 00:00,0
,1994-08-28 00:00,0
,1994-08-29 00:00,0
,1994-08-30 00:00,0
,1994-08-31 00:00,23.9779896889439
,1994-09-01 00:00,4.03476723690488
,1994-09-02 00:00,53.9556943048544
,1994-09-03 00:00,0.0819778876451613
,1994-09-04 00:00,0
,1994-09-05 00:00,0
,1994-09-06 00:00,0
,1994-09-07 00:00,0
,1994-09-08 00:00,39.2539035350059
,1994-09-09 00:00,11.1505567477452
,1994-09-10 00:00,0
,1994-09-11 00:00,0
,1994-09-12 00:00,0
,1994-09-13 00:00,64.844978136142
,1994-09-14 00:00,51.1350272131909
,1994-09-15 00:00,1.17871206022212
,1994-09-16 00:00,13.875898772994
,1994-09-17 00:00,15.2493683893227
,1994-09-18 00:00,1.71645934482074
,1994-09-19 00:00,0
,1994-09-20 00:00,0
,1994-09-21 00:00,10.2636534868088
,1994-09-22 00:00,1.42296195404248
,1994-09-23 00:00,0
,1994-09-24 00:00,1.04499782907962
,1994-09-25 00:00,0.0270993265914589
,1994-09-26 00:00,52.3090178213708
,1994-09-27 00:00,2.79331783331147
,1994-09-28 00:00,0.0565227170729858
,1994-09-29 00:00,0
,1994-09-30 00:00,0
,1994-10-01 00:00,0
,1994-10-02 00:00,14.0098663803355
,1994-10-03 00:00,5.56387350094043
,1994-10-04 00:00,2.97268286996926
,1994-10-05 00:00,0
,1994-10-06 00:00,0
,1994-10-07 00:00,0
,1994-10-08 00:00,1.77276556513452
,1994-10-09 00:00,0
,1994-10-10 00:00,0
,1994-10-11 00:00,0
,1994-10-12 00:00,0
,1994-10-13 00:00,0
,1994-10-14 00:00,0
,1994-10-15 00:00,0
,1994-10-16 00:00,0
,1994-10-17 00:00,0
,1994-10-18 00:00,0
,1994-10-19 00:00,0
,1994-10-20 00:00,2.14794750571798
,1994-10-21 00:00,0
,1994-10-22 00:00,0
,1994-10-23 00:00,13.0536809889154
,1994-10-24 00:00,2.92959442221106
,1994-10-25 00:00,2.30032351707531
,1994-10-26 00:00,18.176751463698
,1994-10-27 00:00,0.0209564135186706
,1994-10-28 00:00,19.0744891972223
,1994-10-29 00:00,0.49098914724909
,1994-10-30 00:00,0
,1994-10-31 00:00,0
,1994-11-01 00:00,0
,1994-11-02 00:00,0
,1994-11-03 00:00,0.0536436914510408
,1994-11-04 00:00,0.219276686225576
